word,pos,meaning,example,frequency,source_rank,other_spellings,source_dataset,redbook_page,redbook_index
the,,这个、这些,,86015,1,,exam-data/NETEMVocabulary,,
be,,是、存在,,54093,2,,exam-data/NETEMVocabulary,,
a,,一、每一,,50252,3,,exam-data/NETEMVocabulary,,
to,,目的、终点,,44609,4,,exam-data/NETEMVocabulary,,
of,,的,,40452,5,,exam-data/NETEMVocabulary,,
and,,和,,28550,6,,exam-data/NETEMVocabulary,,
in,,在…内,,28481,7,,exam-data/NETEMVocabulary,,
have,,有,,15599,8,,exam-data/NETEMVocabulary,,
that,,那,,14916,9,,exam-data/NETEMVocabulary,,
it,,它,,13810,10,,exam-data/NETEMVocabulary,,
for,,为了…、因为…,,13733,11,,exam-data/NETEMVocabulary,,
on,,在…上、持续,,12004,12,,exam-data/NETEMVocabulary,,
they,,他们,,11942,13,,exam-data/NETEMVocabulary,,
you,,你,,10015,14,,exam-data/NETEMVocabulary,,
with,,伴随,,9006,15,,exam-data/NETEMVocabulary,,
as,,作为、既然、随着、就像,,8258,16,,exam-data/NETEMVocabulary,,
their,,他们的,,7050,17,,exam-data/NETEMVocabulary,,
by,,方式、到…为止,,6895,18,,exam-data/NETEMVocabulary,,
not,,不、没有,,6608,19,,exam-data/NETEMVocabulary,,
he,,他,,6542,20,,exam-data/NETEMVocabulary,,
from,,从…、起点,,6455,21,,exam-data/NETEMVocabulary,,
at,,在…位置,,6378,22,,exam-data/NETEMVocabulary,,
will,,将、会,,6253,23,,exam-data/NETEMVocabulary,,
more,,更多的,,6132,24,,exam-data/NETEMVocabulary,,
do,,做,,5932,25,,exam-data/NETEMVocabulary,,
we,,我们,,5808,26,,exam-data/NETEMVocabulary,,
passage,,段落、通道,,5643,27,,exam-data/NETEMVocabulary,,
this,,这,,5481,28,,exam-data/NETEMVocabulary,,
or,,或者、否则,,5362,29,,exam-data/NETEMVocabulary,,
can,,能,,5333,30,,exam-data/NETEMVocabulary,,
I,,我,,5332,31,,exam-data/NETEMVocabulary,,
one,,一个,,5193,32,,exam-data/NETEMVocabulary,,
but,,但是,,4929,33,,exam-data/NETEMVocabulary,,
question,,问题,,4834,34,,exam-data/NETEMVocabulary,,
people,,人民、民族,,4812,35,,exam-data/NETEMVocabulary,,
what,,什么,,4554,36,,exam-data/NETEMVocabulary,,
there,,那里,,4126,37,,exam-data/NETEMVocabulary,,
well,,好、井、涌出,,4065,38,,exam-data/NETEMVocabulary,,
about,,关于,,4062,39,,exam-data/NETEMVocabulary,,
answer,,回答,,3908,40,,exam-data/NETEMVocabulary,,
make,,制作、使得,,3882,41,,exam-data/NETEMVocabulary,,
than,,比,,3795,42,,exam-data/NETEMVocabulary,,
his,,他的,,3761,43,,exam-data/NETEMVocabulary,,
time,,时间,,3396,44,,exam-data/NETEMVocabulary,,
say,,说、说明,,3372,45,,exam-data/NETEMVocabulary,,
work,,工作,,3364,46,,exam-data/NETEMVocabulary,,
which,,哪个、什么样的,,3351,47,,exam-data/NETEMVocabulary,,
when,,当,,3272,48,,exam-data/NETEMVocabulary,,
should,,应该,,3190,49,,exam-data/NETEMVocabulary,,
part,,部分,,3133,50,,exam-data/NETEMVocabulary,,
your,,你的,,3121,51,,exam-data/NETEMVocabulary,,
use,,使用,,3066,52,,exam-data/NETEMVocabulary,,
all,,一切,,3043,53,,exam-data/NETEMVocabulary,,
follow,,跟随,,3014,54,,exam-data/NETEMVocabulary,,
she,,她,,2960,55,,exam-data/NETEMVocabulary,,
who,,谁,,2954,56,,exam-data/NETEMVocabulary,,
each,,每个,,2924,57,,exam-data/NETEMVocabulary,,
some,,一些,,2923,58,,exam-data/NETEMVocabulary,,
other,,其他,,2891,59,,exam-data/NETEMVocabulary,,
if,,如果、是否,,2794,60,,exam-data/NETEMVocabulary,,
year,,年,,2791,61,,exam-data/NETEMVocabulary,,
write,,写,,2693,62,,exam-data/NETEMVocabulary,,
new,,新的,,2672,63,,exam-data/NETEMVocabulary,,
section,,部分、地段,,2670,64,,exam-data/NETEMVocabulary,,
its,,它的,,2572,65,,exam-data/NETEMVocabulary,,
word,,说话、单词,,2552,66,,exam-data/NETEMVocabulary,,
mark,,标记,,2548,67,,exam-data/NETEMVocabulary,,
may,,可能、祝,,2528,68,,exam-data/NETEMVocabulary,,
take,,拿走、携带,,2496,69,,exam-data/NETEMVocabulary,,
many,,很多,,2493,70,,exam-data/NETEMVocabulary,,
most,,最多的、大多数的,,2477,71,,exam-data/NETEMVocabulary,,
read,,读,,2475,72,,exam-data/NETEMVocabulary,,
up,,在...上、完成,,2454,73,,exam-data/NETEMVocabulary,,
her,,她的,,2437,74,,exam-data/NETEMVocabulary,,
only,,仅仅,,2425,75,,exam-data/NETEMVocabulary,,
would,,愿意,,2396,76,,exam-data/NETEMVocabulary,,
go,,去,,2394,77,,exam-data/NETEMVocabulary,,
hear,,听到,,2376,78,,exam-data/NETEMVocabulary,,
give,,给,,2373,79,,exam-data/NETEMVocabulary,,
base,,基础、基地,,2332,80,,exam-data/NETEMVocabulary,,
